showid,name,type,rating,duration,description,hook_text,genre,release_year,release_date,mood_tag,actors,creator,director,audio,subtitles,tags,similar_titles_id,production_country
81618465,Shaka Inkosi YamaKhosi,Movie,U/A 13+,0.25,This animated short film tells the coming-of-age story of the legendary king Shaka Zulu and his empire.,,Drama,2021,2022-8-2,Inspiring,Thembalethu Ntuli;Lillian Dube;Mondli Makhoba;Ayanda Borotho;Thulani Mtsweni;Dawn Thandeka Kang;Kabelo Mfeka;Ayanda Webster;Mbulelo Hlazo,,Manzini Zungu;Nick Cloete,Zulu [Original],English,South African;Dramas;African Movies,81332733;81160765;81270289;81349306;80218506;81178338;81646293;80993105;81120982;81636968;80200047;81227195,South Africa
81387256,Sherdil: The Pilibhit Saga,Movie,U/A 13+,2.0167,A determined village leader embarks on a journey in search of a dangerous tiger that’s threatening the livelihood of his people.,"Pankaj Tripathi, Sayani Gupta and Neeraj Kabi star in this satirical drama based on real events.",Comedy,2022,2022-8-19,Offbeat;Understated,Pankaj Tripathi;Neeraj Kabi;Sayani Gupta;Masood Akhtar;Ashok Mehra;Madhav Jha;Sohag Sen;Vishwanath Chatterjee,,Srijit Mukherji,Hindi [Original],English;Hindi,Hindi-Language Movies;Dramas;Comedy Movies;Independent Movies;Social Issue Dramas,80990815;81244362;81318112;81387255;81332225;81107576;81351700;81183491;81290872;81076756;81722145;81740214,India
81397579,The Next 365 Days,Movie,A,1.8833,Laura and Massimo's relationship hangs in the balance as they try to overcome trust issues while a tenacious Nacho works to push them apart.,"Anna-Maria Sieklucka, Michele Morrone and Simone Susinna return in the final installment of this erotic drama.",Drama,2022,2022-8-19,Steamy,Anna-Maria Sieklucka;Michele Morrone;Simone Susinna;Magdalena Lamparska;Otar Saralidze,,Barbara Białowąs;Tomasz Mandes,English [Original];Hindi;Italian;Polish,English;Italian;Polish;Polish,Polish;Dramas;Movies Based on Books,81397576;81245964;81446391;80013872;80037286;70109683;81252980;80200957;81478642;81058385;80131194;81674326,Poland
81045829,Echoes,TVSeries,A,1 Season,"Identical twins Leni and Gina have secretly switched places for years. But when one sister disappears, both of their lives start to fall apart.","Michelle Monaghan stars in this thriller executive produced by Brian Yorkey (""13 Reasons Why"") and Quinton Peeples (""Iron Fist"").",Thriller,2022,2022-8-19,Psychological;Suspenseful,Michelle Monaghan;Matt Bomer;Karen Robinson;Jonathan Tucker;Daniel Sunjata;Ali Stroker;Gable Swanlund;Rosanny Zayas;Michael O'Neill,Vanessa Gazy,,,,TV Dramas;TV Mysteries;US TV Shows;TV Thrillers,81015514;81029704;80201500;81132961;80991754;80244630;81417796;80153467;81380441;81332052;81001209;80241472,United States
80241472,The Girl in the Mirror,TVSeries,A,1 Season,"After losing her memory in a bizarre accident that kills most of her classmates, Alma tries to unravel what happened that day — and regain her identity.","This thriller was created by Sergio G. Sánchez and stars Mireia Oriol, with Pol Monen and Milena Smit in supporting roles.",Drama,2022,2022-8-19,Mind-Bending;Suspenseful,Mireia Oriol;Álex Villazán;Pol Monen;Javier Morgade;Nil Cardoner;María Caballero;Claudia Roset;Milena Smit;Marta Belaustegui;Josean Bengoetxea;Kandido Uranga;Nacho Fresneda;Alejandro Serrano;Elena Irureta;Katia Borlado,Sergio G. Sánchez,,,,TV Dramas;Spanish;Teen TV Shows;Horror TV Serials,81059720;81045829;81046216;81213803;81037850;80222802;80241539;81112336;81068755;81268316;81498294;81213653,Spain
81216677,Kleo,TVSeries,A,1 Season,"After the fall of the Berlin Wall, a former East German spy resolves to find out who betrayed her and why — and use her lethal skills to exact revenge.","Jella Haase (""Suck Me Shakespeer"") stars in this fast-paced spy thriller by Viviane Andereggen and Jano Ben Chaabane.",Thriller,2022,2022-8-19,Offbeat;Suspenseful,Jella Haase;Dimitrij Schaad;Julius Feldmeier;Vladimir Burlakov;Vincent Redetzki;Marta Sroka;Yun Huang;Alessija Lause;Thandi Sebe;Jürgen Heinrich;Steffi Kühnert;Rodrigo Rojo,Hanno Hackfort;Bob Konrad;Richard Kropf,,,,TV Dramas;German;TV Thrillers,81113742;81221179;81073977;81424068;81417796;81045829;81396545;81332052;81123055;81239598;81020518;80185171,Germany
81270692,Hire a Woman,Movie,U/A 13+,1.7833,An uptight man attempts to make his ex-girlfriend jealous when he pays his co-worker to act as his lover at a university reunion.,,Comedy,2019,2022-8-19,Romantic,Alexx Ekubo;Nancy Isime;Mike Godson;Belinda Effah;Ifu Ennada;Uzor Arukwe;Uche Nwaefuna;Erica Nlewedim,,Ifeanyi Ikpoenyi,English [Original],English,Nollywood;Romantic Comedies;Comedy Movies;Romantic Movies;African Movies,81663113;81270838;81591161;81397731;81172904;81270771;81462490;81172727;81651693;81172848;81435742;81663110,Africa
81609102,Revolutionary Sisters,TVSeries,U/A 16+,1 Season,"Amid their parents’ divorce, three sisters are plunged into uncertainty when their mother is murdered and the family is cast under a cloud of suspicion.",,Drama,2021,2022-8-18,,Yoon Joo-sang;Hong Eun-hee;Jeon Hye-bin;Go Won-hee;Kim Kyung-nam;Lee Bo-hee;Lee Byung-joon;Ha Jae-suk;Choi Dae-chul;Seol Jung-hwan;Kim Hye-sun;Hong Jei;Ju Seok-tae,Lee Jin-seo;Moon Young-Nam,,,,TV Dramas;Korean;TV Comedies,81368054;81609208;81093244;81609154;81594904;81556875;81697983;81716080;81594857;81669777;81482616;81463556,South Korea
81616297,You Can Do It Dear!,Movie,U/A 7+,2.15,"Throughout his impressive acting career, Haldun Dormen inspired and encouraged his theater students to work hard and follow their dreams.",,Documentary,2022,2022-8-18,Nostalgic;Inspiring;Heartfelt,Haldun Dormen,,Selçuk Metin,Turkish [Original],English;Turkish,Turkish;Documentaries;Biographical Documentaries,81328829;81629752;81447086;81214929;80213846;81133260;81031929;81098586;81380539;81644798;81425123;80990771,Turkey
81620228,The Big Boss: A 21st Century Criminal,TVSeries,U/A 13+,1 Season,This docuseries chronicles Paul LeRoux’s rise to power as the digital-age mastermind behind criminal ventures from drug trafficking to assassinations.,,Documentary,2019,2022-8-18,Investigative,,,,,,Singaporean;Crime TV Shows;Docuseries;True Crime Documentaries,81327515;81013210;80177803;80218338;81248392;81384842;81466159;80199963;81620852;81735368;81489034;80118100,Singapore
81504695,The Assistant,Movie,A,2.05,"After losing his family during his incarceration, an innocent ex-convict seeks revenge with the help of an unhinged assistant.",,Action,2022,2022-8-18,Psychological,Iedil Dzuhrie Alaudin;Hairul Azreen;Henley Hii;Farali Khan;Chew Kin Wah;Coby Chong;Gavin Yap;Tony Eusoff;Hannah Hashim;Chacko Vadaketh,,Adrian Teh,Malay [Original],English;Malay,Malaysian;Action & Adventure Movies,81243243;80236341;81577427;81031178;81238155;81631030;81721676;81597206;81440944;81075519;81218770;80209866,Malaysia
81447086,Inside the Mind of a Cat,Movie,U/A 7+,1.1167,Cat experts dive into the mind of the feline to reveal the true capabilities of the pouncing pet in this captivating and cuddly documentary.,,Documentary,2022,2022-8-18,,,,Andy Mitchell,English - Audio Description;English [Original],English,Children & Family Movies;Documentaries;US Movies,81318943;81173728;81328829;81170676;80213846;81312835;81092143;81045007;81183477;81243961;81319177;81328827,United States
81591163,Dwindle,Movie,U/A 13+,2.0833,"After hijacking a car, two desperate friends find themselves on a perilous journey involving assassins, police and a kidnapped governor.",,Comedy,2021,2022-8-18,Offbeat,Funke Akindele-Bello;Bisola Aiyeola;Broda Shaggi;Jide Kene Achufusi;Timini Egbuson;Jibola Dabo;Tope Olowoniyan;Gold Ikponmwosa;Gregory Ojefua;Lateef Adedimeji;Demi Banwo,,Kayode Kasum;Dare Olaitan,English [Original],English,Nollywood;Dramas;Comedy Movies;Social Issue Dramas;African Movies,81591160;81591158;81397729;81591164;81591155;81591162;81270838;81591156;81435736;81592483;81730156;81663107,Africa
81002441,Tekken: Bloodline,TVSeries,U/A 13+,1 Season,"After losing his home to a powerful enemy, a hot-tempered fighter trains under his zealous grandfather while awaiting his chance for revenge.",,Action,2022,2022-8-18,Exciting,Kaiji Tang;Vivian Lu;S. Hiroshi Watanabe;Eliot;Todd Haberkorn;Faye Mata;Jamieson Price;Jeannie Tirado;Erika Harlacher;Earl Baylon,,,,,Sci-Fi & Fantasy Anime;Action Anime;Anime based on a Video Game;Anime Series;Sports Anime;US TV Shows,80992228;81418302;81001988;81050064;80204451;80995578;80217066;80994336;81236338;81281582;81177634;80186926,United States
81609154,Young Lady and Gentleman,TVSeries,U/A 16+,1 Season,A spirited young woman with a big heart becomes the new live-in tutor for a wealthy household grieving a recent loss.,,Romance,2021,2022-8-18,Emotional;Romantic,Ji Hyun-woo;Lee Se-hee;Kang Eun-tak;Park Ha-na;An Woo-yeon;Yoon Ji-ni;Lee Jong-won;Lee Il-hwa;Oh Hyun-kyung;Cha Hwa-yeon;Lee Hwi-hyang;Lim Ye-jin;Kim Young-ok,Shin Chang-seok;Kim Sa-kyung,,,,Romantic TV Dramas;TV Dramas;Korean;TV Comedies;Romantic TV Comedies,80188605;80188354;81609208;81463556;81609047;81612967;81509440;81604431;81368054;81671440;81093244;81697983,South Korea
